1,22980
12,1988
23,1833
34,1849
45,1740
56,2064
67,2191
78,1850
89,2067
910,16928
1011,1892
1112,4865
1213,9983
1314,14781
1415,2819
1516,1868
1617,1824
1718,1794
1819,1962
1920,1764
2021,1958
2122,12138
2223,1924
2324,1872
2425,2748
2526,1510
2627,1470
2728,1539
2829,1515
2930,3132
3031,1561
3132,1957
3233,1519
3334,1494
3435,159900
3536,1959
3637,1960
3738,2696
3839,2395
3940,8648
4041,17176
4142,2627
4243,2503
4344,2738
4445,2888
4546,14931
4647,3654
4748,1869
4849,1653
4950,1442
5051,2072
5152,1467
5253,1569
5354,29477
5455,1871
5556,1923
5657,2168
5758,2439
5859,4907
5960,2743
6061,3475
6162,7910
6263,45041
6364,2072
6465,2504
6566,141428
6667,2283
6768,1623
6869,2994
6970,3140
7071,2196
7172,1719
7273,1643
7374,1734
7475,1776
7576,1802
7677,1694
7778,4692
7879,1963
7980,2203
8081,1955
8182,2320
8283,2212
8384,2125
8485,2411
8586,2013
8687,2343
8788,1660
8889,1509
8990,2737
9091,2427
9192,1924
9293,1916
9394,1882
9495,1596
9596,1703
9697,1660
9798,1549
9899,1597
99100,1577
100101,1713
101102,1773
102103,1655
103104,1661
104105,1836
105106,1654
106107,1722
107108,1644
108109,2592
109110,1819
110111,2688
111112,1582
112113,1492
113114,1454
114115,5605
115116,2585
116117,1669
117118,1716
118119,1578
119120,1468
120121,2101
121122,2027
122123,1636
123124,1564
124125,1513
125126,1789
126127,1483
127128,1876
128129,1963
129130,1714
130131,1628
131132,1756
132133,1680
133134,1632
134135,1632
135136,1503
136137,1533
137138,1498
138139,1472
139140,1560
140141,2633
141142,1825
142143,1814
143144,1572
144145,1549
145146,1621
146147,2312
147148,3663
148149,2422
149150,32384
150151,131181
151152,1838
152153,2065
153154,2017
154155,59173
155156,75439
156157,1840
157158,1839
158159,1827
159160,2471
160161,1701
161162,2574
162163,2138
163164,2110
164165,17997
165166,141698
166167,2507
167168,2270
168169,1813
169170,1765
170171,2280
171172,2427
172173,2893
173174,3321
174175,5478
175176,3473
176177,17249
177178,56792
178179,1619
179180,1465
180181,1473
181182,1511
182183,2329
183184,1464
184185,2338
185186,3679
186187,2343
187188,124982
188189,2211
189190,1931
190191,2192
191192,2012
192193,1855
193194,2030
194195,1794
195196,1691
196197,71698
197198,2234
198199,2305
199200,1956
200201,1927
201202,1952
202203,2196
203204,2088
204205,1712
205206,1651
206207,65550
207208,1881
208209,1877
209210,1492
210211,1797
211212,2638
212213,2322
213214,5251
214215,2245
215216,2280
216217,157993
217218,2345
218219,2527
219220,2242
220221,2908
221222,2429
222223,33994
223224,299530
224225,240232
225226,57389
226227,139150
227228,132408
228229,2549
229230,1920
230231,4689
231232,2393
232233,3316
233234,2434
234235,15438
235236,284212
236237,4003
237238,2069
238239,1900
239240,2477
240241,2149
241242,3414
242243,2337
243244,2504
244245,2106
245246,4248
246247,2533
247248,2377
248249,2924
249250,3404
250251,8958
251252,2623
252253,2764
253254,2243
254255,2230
255256,3282
256257,2264
257258,2173
258259,2058
259260,4957
260261,3137
261262,3219
262263,5210
263264,2556
264265,2049
265266,2882
266267,3357
267268,2427
268269,2297
269270,2788
270271,1990
271272,1821
272273,1792
273274,1780
274275,1616
275276,2288
276277,1713
277278,1890
278279,1737
279280,2208
280281,2362
281282,2213
282283,2085
283284,2016
284285,2767
285286,1600
286287,1601
287288,1636
288289,2014
289290,2026
290291,1901
291292,2039
292293,1857
293294,1874
294295,2423
295296,2045
296297,121810
297298,1950
298299,1841
299300,1609
300301,1666
301302,12538
302303,2122
303304,2146
304305,3200
305306,2868
306307,1935
307308,2155
308309,2739
309310,2203
310311,1903
311312,2174
312313,2945
313314,2362
314315,2943
315316,2024
316317,2203
317318,2175
318319,2751
319320,2391
320321,2393
321322,2160
322323,2975
323324,2045
324325,1982
325326,2315
326327,2832
327328,2058
328329,2099
329330,2123
330331,1739
331332,3342
332333,2849
333334,2203
334335,1835
335336,1972
336337,1670
337338,1895
338339,1665
339340,2051
340341,1810
341342,5543
342343,2495
343344,2259
344345,2066
345346,2128
346347,2269
347348,1895
348349,2093
349350,1969
350351,2630
351352,1920
352353,2000
353354,1892
354355,1836
355356,2573
356357,2874
357358,1862
358359,1703
359360,1915
360361,1874
361362,1838
362363,1666
363364,1765
364365,1811
365366,1946
366367,1973
367368,1776
368369,2530
369370,1940
370371,2078
371372,2714
372373,1778
373374,1895
374375,3223
375376,1641
376377,1684
377378,1759
378379,1723
379380,1751
380381,1670
381382,1986
382383,1785
383384,137748
384385,81164
385386,234424
386387,1866
387388,2768
388389,1984
389390,1937
390391,2519
391392,110205
392393,3614
393394,2293
394395,2201
395396,2121
396397,4087
397398,2796
398399,50309
399400,4693
400401,2570
401402,2287
402403,159375
403404,89440
404405,2383
405406,3790
406407,3266
407408,35898
408409,206886
409410,2119
410411,2357
411412,2230
412413,2022
413414,97676
414415,208808
415416,48237
416417,2900
417418,2766
418419,2411
419420,2213
420421,3042
421422,2638
422423,2775
423424,41318
424425,59896
425426,4412
426427,1839
427428,206529
428429,68992
429430,2172
430431,3436
431432,2642
432433,1945
433434,2193
434435,2311
435436,2281
436437,2459
437438,3268
438439,207921
439440,4785
440441,2478
441442,2656
442443,78316
443444,68535
444445,4270
445446,2419
446447,2133
447448,1904
448449,2500
449450,186981
450451,107852
451452,28638
452453,3012
453454,2379
